Year,Gender,State,Name,Count
1968,F,VA,Lisa,1159
1992,F,AR,Jessica,382
2006,M,IL,Daniel,1022
1912,M,SD,John,98
1975,F,HI,Jennifer,215
1912,M,SC,James,814
1912,M,VA,James,777
1975,F,KS,Jennifer,650
1968,F,TX,Lisa,2148
1972,F,AK,Jennifer,129
2006,M,IA,Ethan,253
1975,F,KY,Jennifer,1006
1968,F,TN,Lisa,1086
1972,F,AL,Jennifer,816
1912,M,UT,John,76
1982,F,AZ,Jennifer,652
1985,F,HI,Ashley,165
1982,F,AR,Jennifer,528
2006,M,HI,Noah,96
1995,M,RI,Michael,194
1982,F,AK,Jennifer,145
1982,F,AL,Jennifer,871
1985,F,IN,Ashley,1578
1985,F,IL,Jennifer,2051
1912,M,TX,James,877
1978,F,RI,Jennifer,283
1972,F,AR,Jennifer,454
1985,F,IA,Ashley,692
1965,F,KY,Lisa,1185
1978,F,SD,Jennifer,215
2006,M,GA,William,1014
1978,F,SC,Jennifer,634
1995,M,SC,William,510
1995,M,SD,Austin,126
1972,F,AZ,Jennifer,608
1965,F,KS,Lisa,528
1985,F,ID,Jessica,236
1956,F,CT,Susan,888
1992,F,VA,Ashley,950
1958,F,UT,Julie,333
1979,M,CO,Michael,868
1956,F,CO,Debra,589
1992,F,UT,Jessica,447
1997,F,AK,Hannah,67
1958,F,VA,Mary,1072
1997,F,AL,Hannah,426
1917,F,WY,Mary,89
1979,M,CT,Michael,1072
1917,F,WV,Mary,1230
1997,F,AR,Hannah,270
1956,F,CA,Susan,3770
1917,F,WI,Dorothy,892
1979,M,DE,Michael,230
1992,F,WA,Jessica,747
1979,M,DC,Michael,339
1958,F,VT,Susan,127
1947,M,IL,James,5348
1949,F,RI,Linda,462
1947,M,IN,James,2531
1956,F,DC,Deborah,480
1924,F,IN,Mary,2400
1992,F,VT,Ashley,83
1956,F,DE,Deborah,174
1958,F,WA,Susan,705
1917,F,VT,Mary,126
1924,F,IL,Mary,3553
1917,F,WA,Mary,408
1958,F,WI,Mary,1864
1924,F,IA,Mary,1158
1924,F,ID,Mary,180
1949,F,NY,Linda,6652
1958,F,WV,Debra,557
1947,M,HI,Robert,215
1958,F,WY,Mary,93
1949,F,OH,Linda,5149
1949,F,NJ,Linda,2364
1947,M,ID,Robert,273
1947,M,IA,James,1429
1924,F,HI,Mary,119
1949,F,NM,Mary,522
1949,F,NV,Linda,102
1992,F,SD,Ashley,109
1992,F,SC,Ashley,606
1979,M,FL,Michael,2245
1949,F,PA,Linda,5849
1992,F,TX,Ashley,3154
1949,F,OK,Linda,1576
1992,F,TN,Ashley,900
1956,F,FL,Mary,1348
1949,F,OR,Linda,1002
1979,M,GA,Michael,1463
1924,F,GA,Mary,2502
1931,F,AZ,Mary,298
1947,M,NY,Robert,10023
1947,M,NV,Robert,106
1954,M,AR,James,1136
1949,F,MA,Linda,2421
1917,F,TN,Mary,1744
1949,F,ME,Linda,561
1924,F,NV,Mary,29
1949,F,MD,Linda,1346
1954,M,AZ,Robert,585
1924,F,NY,Mary,5144
1947,M,OH,Robert,5426
1947,M,OK,James,1155
1924,F,NJ,Mary,1771
1924,F,NM,Mary,400
1954,M,AK,Michael,184
1954,M,AL,James,2260
1924,F,NH,Mary,167
1917,F,SC,Mary,1263
1924,F,NC,Mary,3126
1917,F,SD,Helen,237
1924,F,ND,Mary,231
1924,F,NE,Betty,671
1947,M,MO,James,2430
1949,F,ND,Linda,401
1947,M,MN,James,1783
1949,F,NC,Linda,2724
1947,M,MS,James,2278
1947,M,MT,John,403
1949,F,NE,Linda,898
1931,F,CA,Mary,1626
1949,F,NH,Linda,347
1949,F,MI,Linda,4254
1947,M,NH,Robert,447
1924,F,MS,Mary,1734
1924,F,MT,Mary,261
1924,F,MN,Mary,855
1947,M,NM,Robert,339
1924,F,MO,Mary,2261
1949,F,MO,Linda,2638
1947,M,NJ,Robert,3671
1949,F,MN,Linda,2117
1924,F,MI,Mary,1946
1931,F,CT,Mary,552
1949,F,MS,Mary,1765
1931,F,CO,Mary,511
1924,F,ME,Mary,289
1947,M,ND,James,331
1949,F,MT,Linda,415
1947,M,NE,Robert,744
1947,M,NC,James,3884
1924,F,MA,Mary,2747
1956,F,AR,Mary,642
1954,M,CO,Michael,930
1924,F,MD,Mary,1248
1954,M,CT,John,1359
1979,M,AL,Christopher,1066
1956,F,AK,Debra,103
1956,F,AL,Mary,1247
1979,M,AK,Christopher,142
1992,F,WY,Ashley,68
1992,F,WV,Brittany,292
1954,M,CA,Michael,8069
1947,M,ME,Robert,649
1979,M,AR,Michael,586
1947,M,MI,Robert,4170
1917,F,UT,Mary,203
1917,F,VA,Mary,1783
1979,M,AZ,Michael,857
1947,M,MD,John,1537
1992,F,WI,Ashley,737
1947,M,MA,Robert,3895
1924,F,LA,Mary,1288
1947,M,KS,Robert,926
1949,F,KY,Linda,2100
1947,M,KY,James,2553
1924,F,KY,Mary,2537
1949,F,LA,Mary,1557
1924,F,KS,Mary,952
1931,F,AK,Mary,41
1931,F,AL,Mary,2274
1931,F,AR,Mary,1172
1979,M,CA,Michael,6582
1956,F,AZ,Mary,449
1949,F,KS,Linda,1168
1917,F,TX,Mary,2504
1947,M,LA,James,1581
1924,F,SC,Mary,1742
1924,F,SD,Mary,250
1956,F,LA,Mary,1348
1992,F,MT,Ashley,93
1956,F,KS,Debra,822
1992,F,MS,Ashley,417
1992,F,MN,Ashley,686
1992,F,MO,Jessica,881
1956,F,KY,Mary,1245
1992,F,MI,Ashley,1559
1947,M,CA,Robert,6178
1931,F,FL,Mary,782
1992,F,MD,Ashley,707
1992,F,ME,Ashley,169
1992,F,MA,Jessica,868
1988,F,DC,Ashley,235
1988,F,DE,Ashley,163
1947,M,AK,John,75
1947,M,AL,James,3038
1931,F,GA,Mary,2133
1992,F,NY,Ashley,2513
1988,F,CO,Jessica,646
1924,F,RI,Mary,414
1956,F,MA,Susan,2079
1992,F,NV,Jessica,242
1988,F,CT,Jessica,686
1992,F,NM,Ashley,247
1947,M,AZ,Robert,414
1992,F,NJ,Jessica,1067
1992,F,NH,Sarah,162
1992,F,NE,Ashley,235
1992,F,NC,Ashley,1170
1992,F,ND,Ashley,110
1947,M,AR,James,1620
1988,F,CA,Jessica,6490
1992,F,KY,Ashley,676
1988,F,FL,Ashley,2614
1956,F,NC,Deborah,1553
1949,F,WI,Linda,2113
1992,F,KS,Ashley,367
1956,F,ND,Mary,289
1956,F,MT,Mary,235
1931,F,DE,Mary,100
1931,F,DC,Mary,258
1956,F,MN,Mary,1725
1949,F,VT,Linda,263
1956,F,MO,Mary,1724
1956,F,MS,Mary,1225
1956,F,MD,Deborah,1154
1956,F,ME,Susan,357
1956,F,MI,Mary,3152
1949,F,WA,Linda,1538
1924,F,PA,Mary,7200
1956,F,NV,Debra,93
1956,F,NY,Susan,5091
1956,F,NM,Mary,425
1949,F,WV,Linda,1634
1949,F,WY,Linda,205
1924,F,OR,Betty,311
1992,F,LA,Ashley,600
1956,F,NE,Mary,618
1924,F,OK,Mary,1461
1956,F,NH,Susan,203
1956,F,NJ,Mary,1772
1924,F,OH,Mary,4200
1985,F,WA,Jessica,843
1924,F,WI,Dorothy,1088
1985,F,WI,Amanda,1082
1963,F,CA,Lisa,4939
1947,M,FL,James,1763
1924,F,WA,Betty,527
1947,M,GA,James,3066
1949,F,TX,Linda,4817
1963,F,CO,Lisa,479
1924,F,VT,Mary,124
1956,F,GA,Mary,1507
1985,F,VT,Ashley,126
1963,F,CT,Lisa,1086
1949,F,VA,Linda,2202
1963,F,AZ,Lisa,383
1924,F,VA,Mary,2076
1931,F,KS,Mary,838
1956,F,HI,Susan,127
1949,F,UT,Linda,367
1992,F,RI,Ashley,151
1985,F,WY,Jessica,128
1985,F,WV,Ashley,454
1924,F,UT,Betty,249
1931,F,KY,Mary,1875
1949,F,SC,Mary,1595
1949,F,SD,Linda,484
1931,F,HI,Mary,114
1992,F,OR,Jessica,447
1947,M,DE,William,237
1924,F,TX,Mary,3529
1992,F,OK,Ashley,497
1956,F,IL,Mary,4008
1992,F,OH,Ashley,1815
1988,F,AZ,Jessica,790
1956,F,IN,Debra,1669
1963,F,AK,Mary,78
1963,F,AL,Lisa,854
1956,F,IA,Debra,1170
1956,F,ID,Debra,231
1963,F,AR,Lisa,546
1924,F,TN,Mary,2474
1988,F,AL,Jessica,953
1931,F,IA,Mary,1118
1988,F,AK,Jessica,134
1931,F,ID,Mary,159
1947,M,CO,Robert,838
1931,F,IL,Mary,3118
1988,F,AR,Jessica,561
1949,F,TN,Linda,2289
1947,M,DC,John,884
1931,F,IN,Mary,1581
1947,M,CT,Robert,1622
1992,F,PA,Ashley,1661
1963,F,GA,Lisa,1256
1954,M,ND,David,330
1954,M,NE,Michael,803
1954,M,NC,James,3067
1954,M,NH,David,337
1954,M,MI,Michael,4892
1954,M,MO,Michael,2349
1954,M,MN,Michael,1881
1954,M,MS,James,1780
1954,M,MT,John,340
1954,M,MD,Michael,1524
1917,F,GA,Mary,2025
1954,M,MA,Robert,3387
1954,M,ME,Michael,597
1963,F,FL,Lisa,1300
1956,F,TX,Mary,3621
1956,F,TN,Deborah,1294
1917,F,FL,Mary,581
1960,M,VT,Michael,249
1997,F,OH,Emily,1293
1954,M,PA,John,6731
1997,F,OR,Emily,375
1956,F,VA,Deborah,1490
1997,F,OK,Taylor,309
1956,F,UT,Debra,332
1954,M,OK,David,1080
1917,F,IL,Mary,3474
1954,M,OR,Michael,919
1960,M,WA,David,1377
1997,F,PA,Emily,1301
1917,F,IN,Mary,2231
1960,M,WI,David,2314
1997,F,NH,Emily,162
1956,F,WI,Mary,2013
1997,F,ND,Emily,88
1997,F,NE,Emily,182
1997,F,NC,Hannah,815
1917,F,IA,Mary,1077
1947,M,WY,Robert,164
1917,F,ID,Mary,199
1956,F,WA,Susan,812
1963,F,DC,Lisa,400
1997,F,NM,Ashley,133
1960,M,WV,David,917
1963,F,DE,Lisa,194
1997,F,NJ,Emily,849
1960,M,WY,David,147
1954,M,OH,Michael,5356
1917,F,HI,Mary,88
1954,M,NM,Michael,503
1997,F,NY,Samantha,1686
1954,M,NJ,Robert,3532
1997,F,NV,Taylor,154
1954,M,NY,Robert,8903
1954,M,NV,Michael,153
1956,F,VT,Susan,139
1917,F,CT,Mary,1138
1997,F,ME,Emily,144
1956,F,PA,Mary,3872
1917,F,CO,Mary,462
1997,F,MD,Emily,458
1997,F,MA,Emily,768
1997,F,MO,Emily,664
1954,M,RI,Robert,638
1997,F,MN,Emily,613
1997,F,MI,Emily,1074
1997,F,MS,Hannah,203
1956,F,OR,Debra,560
1963,F,KS,Lisa,550
1997,F,MT,Hannah,71
1917,F,CA,Mary,1149
1956,F,OH,Mary,3467
1963,F,KY,Lisa,1080
1956,F,OK,Debra,694
1997,F,LA,Alexis,481
1963,F,IA,Lisa,858
1963,F,ID,Lisa,184
1954,M,TN,James,2505
1963,F,IL,Lisa,2826
1963,F,IN,Lisa,1715
1997,F,KS,Emily,255
1997,F,KY,Hannah,502
1956,F,SC,Mary,1097
1956,F,SD,Debra,281
1954,M,SC,James,1863
1954,M,SD,Michael,371
1963,F,HI,Lisa,198
1917,F,DE,Mary,161
1917,F,DC,Mary,234
1956,F,RI,Susan,358
1918,M,CT,John,1092
1997,F,ID,Emily,131
1917,F,PA,Mary,7987
1970,F,AZ,Jennifer,374
1997,F,IA,Emily,298
1918,M,CO,John,428
1963,F,OH,Lisa,3226
1997,F,IL,Emily,1180
1963,F,OK,Lisa,592
1970,F,AR,Kimberly,362
1961,M,HI,Michael,283
1963,F,OR,Lisa,433
1918,M,DE,John,147
1917,F,OR,Mary,249
1917,F,OK,Mary,931
1918,M,DC,William,238
1997,F,IN,Emily,681
1947,M,SC,James,2314
1947,M,SD,Robert,356
1924,F,AZ,Mary,281
1963,F,PA,Lisa,3861
1963,F,NC,Lisa,1461
1963,F,ND,Lisa,169
1963,F,NE,Lisa,442
1924,F,AR,Mary,1363
1963,F,NH,Lisa,249
1963,F,NJ,Lisa,2156
1917,F,OH,Mary,3948
1997,F,HI,Taylor,89
1963,F,NM,Mary,264
1924,F,AK,Mary,41
1924,F,AL,Mary,2596
1954,M,DC,Michael,801
1970,F,AK,Jennifer,81
1970,F,AL,Kimberly,734
1917,F,NJ,Mary,2014
1963,F,NV,Lisa,121
1918,M,CA,Robert,1270
1954,M,DE,John,277
1917,F,NM,Mary,239
1917,F,NV,Mary,31
1963,F,NY,Lisa,5137
1961,M,GA,James,2142
1917,F,NY,Mary,5502
1947,M,RI,Robert,682
1997,F,GA,Hannah,765
1960,M,NJ,John,3354
1918,M,AR,James,1157
1963,F,MA,Lisa,2084
1963,F,MD,Lisa,912
1963,F,ME,Lisa,407
1960,M,NE,Michael,722
1960,M,NH,David,345
1963,F,MI,Lisa,2419
1918,M,AK,John,23
1970,F,CT,Jennifer,826
1918,M,AL,James,1874
1960,M,NM,David,528
1963,F,MN,Mary,1141
1963,F,MO,Lisa,1343
1917,F,RI,Mary,442
1960,M,NY,Michael,8937
1963,F,MS,Mary,764
1963,F,MT,Lisa,162
1960,M,NV,Robert,138
1961,M,FL,James,2291
1970,F,DC,Jennifer,302
1918,M,AZ,John,151
1970,F,DE,Jennifer,134
1960,M,OK,David,1008
